customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,OnlineSecurity_NoInternetService,OnlineBackup_NoInternetService,DeviceProtection_NoInternetService,TechSupport_NoInternetService,StreamingTV_NoInternetService,StreamingMovies_NoInternetService,MultipleLines_NoPhoneService,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Cluster,PCA1,PCA2,PreferenceCluster
4190-MFLUW,0,0,1,1,10,1,0,0,1,1,0,0,0,55.2,528.35,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,-0.41015968382843554,-0.7283486132691867,0
4183-MYFRB,0,0,0,0,21,1,0,1,1,0,0,1,1,90.05,1862.9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,-1.85844911474163,-1.7123720625076455,1
8779-QRDMV,1,1,0,0,1,0,0,0,1,0,0,1,1,39.65,39.65,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,-1.1637714791664215,-3.3388365773502464,0
1680-VDCWW,1,0,1,0,12,1,0,0,0,0,0,0,0,19.8,202.25,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,2,5.467803160482557,1.004322927045607,3
1066-JKSGK,1,0,0,0,1,1,0,0,0,0,0,0,0,20.15,20.15,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,2,5.734876295448843,-1.7819601034021877,3
3638-WEABW,0,0,1,0,58,1,0,1,0,1,0,0,1,59.9,3505.1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,-1.1372116691731615,2.237551132006154,2
6322-HRPFA,1,0,1,1,49,1,1,1,0,1,0,0,0,59.6,2970.3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,-0.8973267584249017,1.1768924358523238,0
6865-JZNKO,0,0,0,0,30,1,1,1,0,0,0,0,1,55.3,1530.6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,-0.6781152521556311,-0.7502467281604454,0
6467-CHFZW,1,0,1,1,47,1,0,1,0,0,1,1,1,99.35,4749.15,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,3,-2.650252945004055,-0.5941921344447019,1
8665-UTDHZ,1,0,1,1,1,0,0,1,0,0,0,0,0,30.2,30.2,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,-0.16151466561974223,-2.4435811006958414,0
5248-YGIJN,1,0,1,0,72,1,1,1,1,1,1,1,1,90.25,6369.45,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,-3.1345451290389343,4.087557379188127,2
8773-HHUOZ,0,0,0,1,17,1,0,0,0,0,1,1,1,64.7,1093.1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,-0.5317115125666045,-1.9338351139615402,0
3841-NFECX,0,1,1,0,71,1,1,1,1,1,0,0,1,96.35,6766.95,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,-2.8642836370746085,3.226844038716161,2
4929-XIHVW,1,1,1,0,2,1,0,0,1,0,1,1,1,95.5,181.65,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,-1.8390269284447598,-1.2873307737983268,1
6827-IEAUQ,0,0,1,1,27,1,1,1,1,1,0,0,0,66.15,1874.45,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,-0.7333211712418941,1.7484022324294477,0
7310-EGVHZ,1,0,0,0,1,1,0,0,0,0,0,0,0,20.2,20.2,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,2,5.509323646167614,-0.7807197059528989,3
3413-BMNZE,1,1,0,0,1,1,0,0,0,0,0,0,0,45.25,45.25,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,0.31779169716039973,-2.188089034669462,0
6234-RAAPL,0,0,1,1,72,1,1,1,0,1,1,0,0,99.9,7251.7,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,-2.424294873031003,3.8781468531797407,2
6047-YHPVI,1,0,0,0,5,1,0,0,0,0,0,0,1,69.7,316.9,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,-0.5298540581904211,-3.684257724975183,1
6572-ADKRS,0,0,0,0,46,1,0,0,1,0,0,0,1,74.8,3548.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,-1.0273731037923455,-0.7979633590308576,1
5380-WJKOV,1,0,0,0,34,1,0,1,1,0,1,1,1,106.35,3549.25,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,3,-2.9694472172357744,-1.399521830796315,1
8168-UQWWF,0,0,0,0,11,1,0,0,1,0,1,1,1,97.85,1105.4,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,3,-2.102586646232315,-1.625736808649533,1
8865-TNMNX,1,0,1,1,10,1,0,1,0,0,0,0,0,49.55,475.7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,0.5481320893334494,0.06816780877139389,3
9489-DEDVP,0,0,1,1,70,1,1,1,0,0,1,0,1,69.2,4872.35,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,-1.6606852246018837,3.176523085888917,2
9867-JCZSP,0,0,1,1,17,1,0,0,0,0,0,0,0,20.75,418.25,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,2,5.882401294699334,1.0589602390590511,3
4671-VJLCL,0,0,0,0,63,1,1,1,1,1,1,0,1,79.85,4861.45,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,-2.4369197813945425,3.0688784985998487,2
4080-IIARD,0,0,1,0,13,1,1,1,0,1,1,0,1,76.2,981.45,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,3,-1.936204718025414,-0.5832886082614496,0
3714-NTNFO,0,0,0,0,49,1,0,0,0,0,0,1,1,84.5,3906.7,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,3,-1.6099798795172042,-1.4442962256916387,1
5948-UJZLF,1,0,0,0,2,1,0,1,0,0,0,0,0,49.25,97.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,0.5098660489612065,-2.0599758662187244,0
7760-OYPDY,0,0,0,0,2,1,0,0,0,0,1,0,1,80.65,144.15,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,-1.0104591095792301,-3.530151993228108,1
7639-LIAYI,1,0,0,0,52,1,1,0,0,1,1,1,1,79.75,4217.8,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,-2.035592024545671,2.3398220166175836,2
2954-PIBKO,0,0,1,1,69,1,1,0,1,1,0,0,1,64.15,4254.1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,-1.4812342816576647,3.3319835893042105,2
8012-SOUDQ,0,1,0,0,43,1,0,1,0,0,1,0,1,90.25,3838.75,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,3,-2.186460960805346,-1.4337122675186011,1
9420-LOJKX,0,0,0,0,15,1,1,1,0,0,1,1,1,99.1,1426.4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,-2.1817656071096416,-1.3598405709266004,1
6575-SUVOI,0,1,1,0,25,1,1,0,0,1,1,0,1,69.5,1752.65,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,3,-1.6679110837144122,0.017863673166214702,0
7495-OOKFY,0,1,1,0,8,1,0,1,0,0,0,0,1,80.65,633.3,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,3,-1.3467135342265326,-1.9815766470901777,1
4667-QONEA,0,1,1,1,60,1,1,1,1,1,0,1,1,74.85,4456.35,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,-2.365998033655362,2.9344989406201925,2
1658-BYGOY,1,1,0,0,18,1,0,0,0,0,1,1,1,95.45,1752.55,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,3,-2.1710767159218682,-2.8012940811454485,1
8769-KKTPH,0,0,1,1,63,1,1,0,0,0,1,1,1,99.65,6311.2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,-2.408662306674343,2.522223240985563,2
5067-XJQFU,1,1,1,1,66,1,0,1,1,1,1,1,1,108.45,7076.35,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,-3.6543935903653035,2.363657223978045,2
3957-SQXML,0,0,1,1,34,1,0,0,0,0,0,0,0,24.95,894.3,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,2,5.23180812366764,2.466043897932659,3
5954-BDFSG,0,0,0,0,72,1,0,0,1,1,1,1,1,107.5,7853.7,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,-2.9670047020282064,2.887457443358216,2
0434-CSFON,0,0,1,0,47,1,0,0,1,0,1,1,1,100.5,4707.1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,3,-2.6285549176628225,-0.33441376250209554,1
1215-FIGMP,1,0,0,0,60,1,0,1,0,0,1,0,1,89.9,5450.7,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,3,-1.9892106072341462,0.07454773508849659,1
0526-SXDJP,1,0,1,0,72,0,1,1,1,0,0,0,0,42.1,2962.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,-1.0151471750968317,2.455038849979071,0
0557-ASKVU,0,0,1,1,18,1,0,0,1,1,0,0,1,54.4,957.1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,-0.5144621484837707,1.0211418442676874,0
5698-BQJOH,0,0,0,0,9,1,0,0,0,0,1,1,0,94.4,857.25,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,3,-1.600681359658548,-2.7007891420958643,1
5122-CYFXA,0,0,0,0,3,1,0,1,0,1,1,1,1,75.3,244.1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,-1.6489957960012636,-1.686876650637614,0
8627-ZYGSZ,1,0,1,0,47,1,0,1,0,0,0,0,1,78.9,3650.35,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,-1.4629175519796045,0.16508063097005127,1
3410-YOQBQ,0,0,0,0,31,1,0,1,1,1,1,1,0,79.2,2497.2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,-1.3737511206993218,1.5480756490916843,2
3170-NMYVV,0,0,1,1,50,1,0,0,0,0,0,0,0,20.15,930.9,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,2,5.460639297771694,2.4816145411599995,3
7410-OIEDU,1,0,0,0,10,1,1,0,1,0,0,0,1,79.85,887.35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,-0.6425010962889847,-1.781460514528218,1
2273-QCKXA,1,0,0,0,1,1,0,0,0,1,0,0,0,49.05,49.05,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,0.5579714676811961,-1.9681838952147406,0
0731-EBJQB,0,0,1,1,52,1,0,0,0,0,0,0,1,20.4,1090.65,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,2,4.920457106995939,1.1582896547456438,3
1891-QRQSA,1,1,1,1,64,1,1,0,1,1,1,1,1,111.6,7099.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,-3.3626850029420825,3.6332218881162333,2
8028-PNXHQ,1,0,1,1,62,1,0,0,0,0,0,0,1,24.25,1424.6,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,2,4.8544936649672445,2.799896077444672,3
5630-AHZIL,0,0,0,1,3,1,1,0,0,1,0,1,1,64.5,177.4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,-0.8261984731279489,-0.6668263117135375,0
2673-CXQEU,0,1,0,0,56,1,1,1,1,0,1,1,0,110.5,6139.5,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,-3.3357287691163817,1.411094198513467,2
6416-JNVRK,0,0,0,0,46,1,0,0,0,0,0,1,0,55.65,2688.85,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,-0.28125614341387967,0.5020924843147837,0
5590-ZSKRV,0,0,1,1,8,1,1,1,0,0,0,0,0,54.65,482.25,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,0.15400245433333992,-0.7038029990938554,0
0191-ZHSKZ,1,1,0,0,30,1,1,1,0,0,1,1,1,74.75,2111.3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,-2.068950692981921,-1.2299221946274381,0
3887-PBQAO,0,0,1,1,45,1,0,0,0,0,0,0,1,25.9,1216.6,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,2,4.813369256771612,2.118341391940246,3
5919-TMRGD,0,0,0,1,1,1,0,0,0,0,1,0,1,79.35,79.35,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,-0.8949086812091726,-3.193525793308418,1
8108-UXRQN,0,0,1,1,11,0,1,0,0,0,1,1,0,50.55,565.35,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,-1.0233111623657616,-1.0906666016046325,0
9191-MYQKX,0,0,1,0,7,1,0,0,1,0,0,0,1,75.15,496.9,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,-0.8517999663543891,-2.013392065084601,1
9919-YLNNG,0,0,0,0,42,1,0,1,1,1,1,1,1,103.8,4327.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,-2.789733285307584,0.4365590514098796,2
0318-ZOPWS,0,0,1,0,49,1,0,0,0,0,0,0,1,20.15,973.35,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,2,5.109605418179208,1.9423861287800885,3
4445-ZJNMU,1,0,0,0,9,1,0,1,0,0,1,1,1,99.3,918.75,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,3,-1.922059520898339,-1.1269398551117047,1
4808-YNLEU,0,0,1,0,35,1,1,0,0,0,1,0,1,62.15,2215.45,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,-0.8652780517961886,0.9137415173988974,0
1862-QRWPE,0,0,1,1,48,1,0,0,0,0,0,0,0,20.65,1057.0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,2,5.451165367275077,2.4677177237649333,3
2796-NNUFI,0,0,1,1,46,1,0,0,0,0,0,0,1,19.95,927.1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,2,5.590671417132498,1.8305902733673531,3
3016-KSVCP,1,0,1,0,29,0,0,0,0,0,1,0,0,33.75,1009.25,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0.17687780442133377,-1.3513407622377918,0
4767-HZZHQ,1,0,1,1,30,1,0,1,1,0,0,0,0,82.05,2570.2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,-1.0035370697687407,0.07796472579845916,1
2424-WVHPL,1,1,0,0,1,1,0,0,0,1,0,0,0,74.7,74.7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,-0.6499447863489098,-2.801719746257339,1
7233-PAHHL,1,0,1,1,66,1,1,0,1,1,1,1,1,84.0,5714.25,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,-2.1959474142160165,3.498741689973065,2
6067-NGCEU,0,0,0,0,65,1,1,1,1,0,1,1,1,111.05,7107.0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,-3.3877581789016045,1.4099038649088056,2
9848-JQJTX,1,0,0,0,72,1,0,1,1,0,1,1,1,100.9,7459.05,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,-2.902512681537582,2.6898027588284648,2
8637-XJIVR,0,0,0,0,12,1,1,0,0,0,0,0,1,78.95,927.35,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,3,-1.22277982924082,-2.8561841744356515,1
9803-FTJCG,1,0,1,1,71,1,1,1,0,1,0,0,1,66.85,4748.7,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,-1.6240822467025473,2.9858771495230565,2
0278-YXOOG,1,0,0,0,5,1,0,0,0,0,0,0,0,21.05,113.85,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,2,5.705561269979772,-1.7039852145375836,3
3212-KXOCR,1,0,0,0,52,1,0,0,0,0,0,0,0,21.0,1107.2,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,2,5.399482390269585,1.738953094433818,3
4598-XLKNJ,0,1,1,0,25,1,0,1,1,0,1,1,1,98.5,2514.5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,-2.8074916259513287,-1.68251143793265,1
6380-ARCEH,1,0,0,0,1,1,0,0,0,0,0,0,0,20.2,20.2,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,2,5.880961812143637,-1.2008003654948884,3
3679-XASPY,0,0,1,1,1,1,0,0,0,0,0,0,0,19.45,19.45,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,2,5.377617828488173,-0.7896409269768011,3
7123-WQUHX,1,0,0,0,38,1,0,0,1,1,1,0,0,95.0,3605.6,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,-1.812516882615884,1.261022005350371,2
5386-THSLQ,0,1,1,0,66,0,0,1,1,0,1,0,0,45.55,3027.25,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,-1.4482013802403026,1.5789044313763443,0
3192-NQECA,1,0,1,0,68,1,0,1,1,1,1,1,1,110.0,7611.85,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,-3.4943203603751916,2.943400517606718,2
6180-YBIQI,1,0,0,0,5,0,0,0,0,0,0,0,0,24.3,100.2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0.8668615199539337,-2.523060260353485,0
6728-DKUCO,0,0,1,1,72,1,1,1,0,0,1,1,1,104.15,7303.05,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,-3.078793980463342,2.2975453219985447,2
9750-BOOHV,0,0,0,0,32,0,1,0,0,0,0,0,0,30.15,927.65,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0.4232979648987102,-0.42064237988415193,0
8597-CWYHH,1,0,0,0,43,1,0,0,0,0,1,1,0,94.35,3921.3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,-1.2130239212342657,0.3873966037995062,2
2848-YXSMW,1,0,1,1,72,1,0,0,0,0,0,0,0,19.4,1363.25,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,2,5.372912918994811,2.9134231247217017,3
0486-HECZI,1,0,1,0,55,1,1,1,0,0,1,0,1,96.75,5238.9,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,3,-2.67731161084633,-0.5802351239839215,1
4549-ZDQYY,0,0,0,0,52,1,1,0,1,1,0,0,0,57.95,3042.25,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,-0.8996839686690081,1.6277076626481928,0
5712-AHQNN,0,0,0,0,43,1,0,1,1,0,1,0,1,91.65,3954.1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,-2.1205286004807933,-1.0695966476594094,1
4846-WHAFZ,0,1,1,0,37,1,0,0,0,0,0,0,1,76.5,2868.15,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,3,-1.4220285173946554,-2.3555390873748205,1
5256-SKJGO,0,0,1,1,64,0,0,1,0,1,1,1,1,54.6,3423.5,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,-1.9369028942608906,1.893771863594388,0
3071-VBYPO,1,0,1,1,3,1,1,1,0,0,1,0,0,89.85,248.4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,-1.2848833908347292,-1.2262582746246875,1
9560-BBZXK,0,0,0,0,36,0,1,0,0,0,0,0,0,31.05,1126.35,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0.10418649054326055,0.4955539056685347,0
5299-RULOA,0,0,1,1,10,1,1,0,0,0,1,1,1,100.25,1064.65,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,3,-2.178687851022577,-1.6159063326502334,1
8402-OOOHJ,0,0,0,0,41,1,0,0,0,0,0,0,0,20.65,835.15,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,2,5.824390298389774,1.1051563713518375,3
9445-ZUEQE,1,0,1,1,27,1,0,1,0,1,0,0,1,85.2,2151.6,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,3,-1.4261245832272154,0.11818841736634375,1
1091-SOZGA,0,0,1,1,56,1,0,0,1,0,1,1,1,99.8,5515.45,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,-2.392168589917698,2.261230393369527,2
2928-HLDBA,0,0,0,0,6,1,0,0,0,0,0,0,0,20.7,112.75,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,2,5.84476269502203,-1.1067168876053899,3
0404-SWRVG,1,0,0,0,3,1,0,0,0,0,0,0,1,74.4,229.55,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,3,-0.7998152762765688,-3.5037389126073517,1
6497-TILVL,0,0,1,1,7,1,1,0,0,0,0,0,0,50.7,350.35,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,0.5466476955200529,-1.0593727606792802,0
7219-TLZHO,0,0,1,1,4,1,0,0,0,0,0,0,0,20.85,62.9,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,2,5.893067216671175,-0.3460703873479608,3
4622-YNKIJ,1,0,0,0,33,1,1,0,0,1,1,0,1,88.95,3027.65,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,-1.7144581300922848,0.34119467277619114,2
4412-YLTKF,0,1,0,0,27,1,0,0,1,0,0,0,1,78.05,2135.5,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,3,-1.6431540497875103,-2.6899280524079536,1
6734-PSBAW,1,0,1,0,72,1,0,0,0,0,0,0,1,23.55,1723.95,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,2,4.710345539007251,2.638113655324947,3
3930-ZGWVE,1,0,0,0,1,1,0,0,0,0,0,0,0,19.75,19.75,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,2,5.885404914836941,-1.2013009310582528,3
